topic,question,option1,option2,option3,option4,answer
Python,What is the purpose of the 'property' decorator?,To define a property in a class,To create a method,To define a variable,To declare a function,1
Python,Which method is used to convert a set to a list?,list(),set_to_list(),convert(),change(),1
Python,What is the purpose of the 'zip' function?,To combine multiple iterables,To sort iterables,To filter iterables,To map iterables,1
Python,Which method is used to clear all items from a dictionary?,clear(),delete(),remove(),empty(),1
Python,What is the purpose of the 'format' method in strings?,To format strings,To concatenate strings,To split strings,To join strings,1
Python,Which function is used to get the maximum value from an iterable?,max(),maximum(),highest(),biggest(),1
Python,What is the purpose of the 'round' function?,To round a number to a specified number of decimal places,To convert a number to an integer,To calculate the square root,To find the absolute value,1
Python,Which method is used to create a new set from an existing set?,copy(),new_set(),set(),create(),1
Python,What is the purpose of the 'input' function?,To get user input,To read a file,To write to a file,To display output,1
Python,Which method is used to check if a string starts with a specific substring?,startswith(),beginswith(),first(),initial(),1
Python,What is the purpose of the 'join' method in strings?,To concatenate strings,To split strings,To format strings,To replace substrings,1
Python,Which function is used to get the current time?,time(),now(),current_time(),get_time(),1
Python,What is the purpose of the 'isinstance' function?,To check if an object is an instance of a class,To check the type of an object,To compare two objects,To create a new object,1
Python,Which method is used to find the minimum value in a list?,min(),minimum(),lowest(),smallest(),1
Python,What is the purpose of the 'next' function?,To get the next item from an iterator,To create a new iterator,To reset an iterator,To check if an iterator is exhausted,1
Python,Which method is used to create a new dictionary from a list of tuples?,dict(),from_tuples(),create_dict(),zip(),1
Python,What is the purpose of the 'sorted' function?,To sort an iterable,To filter an iterable,To map an iterable,To reduce an iterable,1
Python,Which method is used to get the last element of a list?,last(),get_last(),[-1],get(),1
Python,What is the purpose of the 'assertRaises' method in unit testing?,To check if an exception is raised,To check if a value is true,To check if a value is false,To check if a value is not None,1
Python,Which function is used to create a new list from an iterable?,list(),new_list(),create_list(),from_iterable(),1
Python,What is the purpose of the 'del' keyword?,To delete an object,To remove an element from a list,To clear a dictionary,To free memory,1
Python,Which method is used to get the first element of a list?,first(),get_first(),[0],head(),1
Python,What is the purpose of the 'break' statement in loops?,To exit the loop,To continue the loop,To skip the current iteration,To define a function,1
Python,Which method is used to get the last index of an element in a list?,last_index(),index(),find_last(),rindex(),1
Python,What is the purpose of the 'continue' statement in loops?,To skip the current iteration,To exit the loop,To define a function,To declare a variable,1
Python,Which method is used to get the number of occurrences of an element in a list?,count(),frequency(),occurrences(),tally(),1
Python,What is the purpose of the 'elif' statement?,To check multiple conditions,To define a function,To create a loop,To declare a variable,1
Python,Which method is used to convert a list to a set?,set(),list_to_set(),convert(),change(),1
Python,What is the purpose of the 'assert' statement?,To test conditions during debugging,To handle exceptions,To create loops,To define functions,1
Python,Which function is used to get the square root of a number?,sqrt(),square(),power(),root(),1
Python,What is the purpose of the 'in' keyword in a loop?,To iterate over items,To check membership,To define a function,To declare a variable,1
Python,Which method is used to find the first occurrence of a substring in a string?,find(),index(),search(),locate(),1
Python,What is the purpose of the 'break' statement in a loop?,To exit the loop,To continue the loop,To skip the current iteration,To define a function,1
Python,Which method is used to create a shallow copy of a dictionary?,copy(),duplicate(),clone(),replicate(),1
Python,What is the purpose of the 'is' operator?,To check object identity,To compare values,To check type,To check membership,1
Python,Which function is used to convert a string to a float?,float(),str(),int(),bool(),1
Python,What is the purpose of the 'global' keyword?,To declare global variables,To create functions,To define classes,To create loops,1
Python,Which method is used to get the last element of a tuple?,last(),get_last(),[-1],tail(),1
Python,What is the purpose of the 'zip' function?,To combine multiple iterables into tuples,To sort iterables,To filter iterables,To map iterables,1
Python,Which method is used to check if a string ends with a specific substring?,endswith(),finishwith(),lastwith(),finalize(),1
JavaScript,How do you declare a variable in JavaScript?,var,let,const,All of the above,1
JavaScript,Which method is used to add an element to the end of an array?,push(),add(),append(),insert(),1
JavaScript,What is the purpose of the 'function' keyword?,To define a function,To create a variable,To define a class,To create an object,1
JavaScript,Which operator is used for strict equality in JavaScript?,===,==,=,!=,1
JavaScript,What is the purpose of the 'return' statement?,To return a value from a function,To create a loop,To define a variable,To create an object,1
JavaScript,Which method is used to remove the last element from an array?,pop(),remove(),delete(),extract(),1
JavaScript,What is the purpose of the 'if' statement?,To make decisions,To create loops,To define functions,To declare variables,1
JavaScript,Which function is used to convert string to number?,parseInt(),Number(),int(),convert(),1
JavaScript,What is the purpose of the 'for' loop?,To iterate over sequences,To make decisions,To define functions,To declare variables,1
JavaScript,Which method is used to join array elements into a string?,join(),concat(),merge(),combine(),1
JavaScript,What is the purpose of the 'class' keyword?,To define a class,To create an object,To define a function,To declare a variable,1
JavaScript,Which method is used to get user input?,prompt(),input(),get(),read(),1
JavaScript,What is the purpose of the 'try-catch' block?,To handle exceptions,To create loops,To define functions,To declare variables,1
JavaScript,Which method is used to convert number to string?,toString(),String(),str(),convert(),1
JavaScript,What is the purpose of the 'while' loop?,To repeat code while condition is true,To make decisions,To define functions,To declare variables,1
JavaScript,Which method is used to find the maximum value?,Math.max(),max(),maximum(),highest(),1
JavaScript,What is the purpose of the 'break' statement?,To exit a loop,To continue a loop,To define a function,To declare a variable,1
JavaScript,Which method is used to sort an array?,sort(),order(),arrange(),organize(),1
JavaScript,What is the purpose of the 'continue' statement?,To skip the current iteration,To exit a loop,To define a function,To declare a variable,1
JavaScript,Which method is used to split a string?,split(),divide(),separate(),break(),1
JavaScript,What is the purpose of the 'arrow function'?,To create concise functions,To define classes,To create loops,To declare variables,1
JavaScript,Which method is used to check if an array includes an element?,includes(),contains(),has(),exists(),1
JavaScript,What is the purpose of the 'null' value?,To represent absence of value,To create objects,To define functions,To declare variables,1
JavaScript,Which method is used to get the current date?,new Date(),Date.now(),getDate(),currentDate(),1
JavaScript,What is the purpose of the 'undefined' value?,To represent uninitialized variables,To create objects,To define functions,To declare variables,1
JavaScript,Which method is used to remove array elements?,splice(),remove(),delete(),extract(),1
JavaScript,What is the purpose of the 'typeof' operator?,To check data type,To create objects,To define functions,To declare variables,1
JavaScript,Which method is used to convert string to lowercase?,toLowerCase(),lower(),small(),down(),1
JavaScript,What is the purpose of the 'this' keyword?,To refer to current object,To create objects,To define functions,To declare variables,1
JavaScript,Which method is used to get array length?,length,size(),count(),getLength(),1
JavaScript,What is the purpose of the 'let' keyword?,To declare block-scoped variables,To declare global variables,To declare constants,To declare functions,1
JavaScript,Which method is used to find the index of an element in an array?,indexOf(),findIndex(),search(),locate(),1
JavaScript,What is the purpose of the 'const' keyword?,To declare constants,To declare variables,To define functions,To create objects,1
JavaScript,Which operator is used to concatenate strings?,+,.,concat(),join(),1
JavaScript,What is the purpose of the 'switch' statement?,To execute different code based on conditions,To create loops,To define functions,To declare variables,1
JavaScript,Which method is used to trim whitespace from a string?,trim(),strip(),clean(),clear(),1
JavaScript,What is the purpose of the 'map' method?,To create a new array by applying a function to each element,To filter elements in an array,To reduce elements in an array,To sort elements in an array,1
JavaScript,Which method is used to convert an array to a string?,toString(),join(),convert(),arrayToString(),1
JavaScript,What is the purpose of the 'filter' method?,To create a new array with elements that pass a test,To sort an array,To map elements,To reduce an array,1
JavaScript,Which method is used to get the first element of an array?,shift(),first(),getFirst(),head(),1
JavaScript,What is the purpose of the 'reduce' method?,To reduce an array to a single value,To filter elements,To map elements,To sort elements,1
JavaScript,Which method is used to create a new array with elements that pass a test?,filter(),map(),reduce(),every(),1
JavaScript,What is the purpose of the 'every' method?,To test if all elements pass a test,To test if any element passes a test,To create a new array,To sort elements,1
JavaScript,Which method is used to check if an array is empty?,isEmpty(),length,checkEmpty(),isArrayEmpty(),1
JavaScript,What is the purpose of the 'some' method?,To test if at least one element passes a test,To test if all elements pass a test,To create a new array,To sort elements,1
JavaScript,Which method is used to create a shallow copy of an array?,slice(),copy(),duplicate(),clone(),1
JavaScript,What is the purpose of the 'find' method?,To return the first element that satisfies a condition,To find the index of an element,To filter elements,To sort elements,1
JavaScript,Which method is used to get the last element of an array?,pop(),last(),getLast(),tail(),1
JavaScript,What is the purpose of the 'includes' method?,To check if an array contains a specific element,To find the index of an element,To filter elements,To sort elements,1
JavaScript,Which method is used to create a new object from an existing object?,Object.assign(),Object.create(),Object.clone(),Object.copy(),1
JavaScript,What is the purpose of the 'bind' method?,To create a new function with a specific context,To bind variables,To create closures,To define functions,1
JavaScript,Which method is used to convert an object to a JSON string?,JSON.stringify(),JSON.parse(),JSON.convert(),JSON.toString(),1
JavaScript,What is the purpose of the 'parseInt' function?,To convert a string to an integer,To convert a string to a float,To parse JSON,To convert a number to a string,1
JavaScript,Which method is used to get the keys of an object?,Object.keys(),getKeys(),keys(),listKeys(),1
JavaScript,What is the purpose of the 'setTimeout' function?,To execute a function after a specified delay,To execute a function immediately,To create a loop,To define a function,1
JavaScript,Which method is used to get the values of an object?,Object.values(),getValues(),values(),listValues(),1
JavaScript,What is the purpose of the 'setInterval' function?,To execute a function repeatedly at specified intervals,To execute a function once,To create a loop,To define a function,1
JavaScript,Which method is used to remove a property from an object?,delete,remove(),clear(),unset(),1
JavaScript,What is the purpose of the 'Promise' object?,To handle asynchronous operations,To create synchronous operations,To define functions,To declare variables,1
JavaScript,Which method is used to resolve a promise?,resolve(),then(),catch(),finally(),1
JavaScript,What is the purpose of the 'async' keyword?,To define an asynchronous function,To create a synchronous function,To declare a variable,To define a class,1
JavaScript,Which method is used to wait for a promise to resolve?,await(),then(),catch(),finally(),1
JavaScript,What is the purpose of the 'fetch' function?,To make network requests,To handle promises,To create a loop,To define a function,1
JavaScript,Which method is used to convert a JSON string to an object?,JSON.parse(),JSON.stringify(),JSON.convert(),JSON.toObject(),1
JavaScript,What is the purpose of the 'localStorage' object?,To store data in the browser,To create cookies,To manage sessions,To handle network requests,1
JavaScript,Which method is used to clear all items from local storage?,localStorage.clear(),localStorage.removeAll(),localStorage.delete(),localStorage.empty(),1
JavaScript,What is the purpose of the 'sessionStorage' object?,To store data for the duration of the page session,To store data permanently,To create cookies,To handle network requests,1
JavaScript,Which method is used to get the current URL?,window.location.href,window.url,document.url,document.location,1
JavaScript,What is the purpose of the 'window' object?,To represent the browser window,To create a new object,To define functions,To declare variables,1
JavaScript,Which method is used to scroll to a specific element?,scrollTo(),scroll(),scrollIntoView(),moveTo(),1
JavaScript,What is the purpose of the 'event' object?,To represent events in the browser,To create new events,To handle asynchronous operations,To define functions,1
JavaScript,Which method is used to prevent the default action of an event?,event.preventDefault(),event.stopPropagation(),event.cancel(),event.prevent(),1
JavaScript,What is the purpose of the 'addEventListener' method?,To attach an event handler to an element,To remove an event handler,To create a new event,To define a function,1
JavaScript,Which method is used to remove an event listener?,removeEventListener(),detachEvent(),deleteEvent(),clearEvent(),1
JavaScript,What is the purpose of the 'DOMContentLoaded' event?,To execute code when the HTML document is fully loaded,To execute code when the page is fully loaded,To create a new event,To define a function,1
JavaScript,Which method is used to create a new HTML element?,document.createElement(),document.newElement(),document.addElement(),document.makeElement(),1
JavaScript,What is the purpose of the 'innerHTML' property?,To get or set the HTML content of an element,To get or set the text content of an element,To create a new element,To define a function,1
JavaScript,Which method is used to append a child element to a parent element?,appendChild(),addChild(),insertChild(),append(),1
JavaScript,What is the purpose of the 'style' property?,To get or set the CSS styles of an element,To create a new style,To define a function,To declare a variable,1
JavaScript,Which method is used to get the computed style of an element?,getComputedStyle(),getStyle(),getElementStyle(),computedStyle(),1
JavaScript,What is the purpose of the 'setAttribute' method?,To set an attribute on an element,To get an attribute from an element,To remove an attribute from an element,To create a new attribute,1
JavaScript,Which method is used to remove an attribute from an element?,removeAttribute(),deleteAttribute(),clearAttribute(),unsetAttribute(),1
JavaScript,What is the purpose of the 'classList' property?,To manage classes of an element,To create a new class,To define a function,To declare a variable,1
JavaScript,Which method is used to add a class to an element?,classList.add(),addClass(),appendClass(),insertClass(),1
JavaScript,What is the purpose of the 'toggle' method in classList?,To add or remove a class,To check if a class exists,To get the class name,To set a class,1
JavaScript,Which method is used to get the parent element of an element?,parentNode(),getParent(),findParent(),getParentElement(),1
JavaScript,What is the purpose of the 'querySelector' method?,To select the first matching element,To select all matching elements,To create a new element,To define a function,1
JavaScript,Which method is used to select all matching elements?,querySelectorAll(),selectAll(),getElements(),findAll(),1
JavaScript,What is the purpose of the 'setTimeout' function?,To execute a function after a specified delay,To execute a function repeatedly,To create a loop,To define a function,1
JavaScript,Which method is used to clear a timeout?,clearTimeout(),stopTimeout(),cancelTimeout(),removeTimeout(),1
JavaScript,What is the purpose of the 'setInterval' function?,To execute a function repeatedly at specified intervals,To execute a function once,To create a loop,To define a function,1
JavaScript,Which method is used to clear an interval?,clearInterval(),stopInterval(),cancelInterval(),removeInterval(),1
JavaScript,What is the purpose of the 'Math.random()' function?,To generate a random number between 0 and 1,To generate a random integer,To generate a random string,To generate a random array,1
JavaScript,Which method is used to round a number to the nearest integer?,Math.round(),Math.floor(),Math.ceil(),Math.trunc(),1
JavaScript,What is the purpose of the 'Math.max()' function?,To find the maximum value among numbers,To find the minimum value among numbers,To calculate the average,To sum numbers,1
JavaScript,Which method is used to get the absolute value of a number?,Math.abs(),Math.absolute(),Math.value(),Math.getValue(),1
JavaScript,What is the purpose of the 'Math.pow()' function?,To raise a number to a power,To calculate the square root,To find the logarithm,To calculate the sine,1
JavaScript,Which method is used to get the square root of a number?,Math.sqrt(),Math.square(),Math.root(),Math.getSquare(),1
JavaScript,What is the purpose of the 'Math.floor()' function?,To round down to the nearest integer,To round up to the nearest integer,To round to the nearest integer,To truncate a number,1
JavaScript,Which method is used to get the current timestamp?,Date.now(),new Date(),getCurrentTime(),currentTimestamp(),1
C++,What is the purpose of the 'static' keyword in C++?,To limit the scope of a variable,To create a global variable,To allocate memory dynamically,To define a constant,1
C++,Which operator is used to dereference a pointer in C++?,*,&,->,::,1
C++,What is the correct way to define a destructor in C++?,~ClassName(),ClassName()~,ClassName::~(),delete ClassName(),1
C++,Which keyword is used to define a class template in C++?,template,class,typename,struct,1
C++,What is the purpose of the 'const' keyword in C++?,To define constant variables,To prevent function overriding,To create constant pointers,To declare constant member functions,1
C++,Which STL container allows duplicate elements?,list,set,map,unordered_set,1
C++,What is the correct way to initialize a pointer in C++?,int* ptr = nullptr;,int* ptr = 0;,int* ptr = NULL;,All of the above,1
C++,What is the purpose of the 'override' keyword in C++?,To indicate a function overrides a base class function,To prevent function overriding,To create a new function,To define a constant,1
C++,Which operator is used to perform member access in C++?,.,->,::,*,1
C++,What is the purpose of the 'sizeof' operator in C++?,To get the size of a data type or object,To allocate memory,To define a constant,To create a new object,1
C++,Which keyword is used to define an abstract class in C++?,virtual,abstract,pure,final,1
C++,What is the correct way to declare a multi-dimensional array in C++?,int arr[3][4],int arr(3)(4),int arr{3,4},int arr<3,4>,1
C++,What is the purpose of the 'volatile' keyword in C++?,To prevent compiler optimization,To define constant variables,To create global variables,To declare member functions,1
C++,Which STL container is implemented as a doubly linked list?,list,vector,deque,set,1
C++,What is the correct way to declare a function pointer in C++?,returnType (*ptr)(parameterTypes),returnType ptr(parameterTypes),returnType ptr*,returnType &ptr(parameterTypes),1
C++,What is the purpose of the 'namespace' keyword in C++?,To avoid name collisions,To define a class,To create a function,To declare a variable,1
C++,Which operator is used for member access in a class?,.,->,::,*,1
C++,What is the correct way to define a constant expression in C++?,constexpr int x = 10;,const int x = 10;,static const int x = 10;,All of the above,1
C++,What is the purpose of the 'extern' keyword in C++?,To declare a variable defined in another file,To define a global variable,To create a constant,To declare a function,1
C++,Which keyword is used to define a lambda function in C++?,lambda,[](),function,auto,1
C++,What is the correct way to declare a union in C++?,union UnionName { int x; float y; };,struct UnionName { int x; float y; };,class UnionName { int x; float y; };,union UnionName: { int x; float y; };,1
C++,What is the purpose of the 'friend' function in C++?,To allow access to private members of a class,To create relationships between classes,To inherit properties,To share memory,1
C++,Which operator is used for dynamic memory deallocation in C++?,delete,free,remove,dispose,1
C++,What is the correct way to declare a copy constructor in C++?,ClassName(const ClassName &obj),ClassName(ClassName obj),ClassName(ClassName &obj),ClassName(ClassName obj = nullptr),1
C++,What is the purpose of the 'static_cast' operator in C++?,To perform safe type conversions,To perform unsafe type conversions,To cast pointers,To cast references,1
C++,Which keyword is used to define a template class in C++?,template,class,typename,struct,1
C++,What is the correct way to declare a move constructor in C++?,ClassName(ClassName &&obj),ClassName(ClassName obj),ClassName(ClassName &obj),ClassName(ClassName obj = nullptr),1
C++,What is the purpose of the 'dynamic_cast' operator in C++?,To safely cast pointers and references in inheritance hierarchies,To perform unsafe type conversions,To cast references,To cast values,1
C++,Which STL container is used for implementing a stack?,stack,queue,deque,vector,1
C++,What is the correct way to declare a bit field in C++?,struct { int x: 1; int y: 1; },struct { int x; int y; },struct { int x[1]; int y[1]; },struct { int x; int y; } : 1;,1
C++,What is the purpose of the 'reinterpret_cast' operator in C++?,To perform low-level type conversions,To perform safe type conversions,To cast pointers,To cast references,1
C++,Which keyword is used to define a class member function outside the class definition?,inline,static,extern,public,1
C++,What is the correct way to declare a default constructor in C++?,ClassName() = default;,ClassName() {},ClassName() = 0;,ClassName() = new ClassName();,1
C++,What is the purpose of the 'const_cast' operator in C++?,To cast away constness,To perform safe type conversions,To cast pointers,To cast references,1
C++,Which STL algorithm is used for searching?,find,search,locate,check,1
C++,What is the correct way to declare a nested class in C++?,class Outer { class Inner {}; },class Outer { Inner {}; },class Outer::Inner {},class Outer.Inner {},1
C++,What is the purpose of the 'volatile' keyword in C++?,To prevent compiler optimization,To define constant variables,To create global variables,To declare member functions,1
C++,Which keyword is used to define a destructor in C++?,~ClassName,ClassName~,ClassName::~,delete ClassName,1
C++,What is the correct way to declare a multi-dimensional array in C++?,int arr[3][4],int arr(3)(4),int arr{3,4},int arr<3,4>,1
C++,What is the purpose of the 'static' keyword in C++?,To limit the scope of a variable,To create a global variable,To allocate memory dynamically,To define a constant,1
C++,Which operator is used to dereference a pointer in C++?,*,&,->,::,1
C++,What is the correct way to define a destructor in C++?,~ClassName(),ClassName()~,ClassName::~(),delete ClassName(),1
C++,Which keyword is used to define a class template in C++?,template,class,typename,struct,1
C++,What is the purpose of the 'const' keyword in C++?,To define constant variables,To prevent function overriding,To create constant pointers,To declare constant member functions,1
C++,Which STL container allows duplicate elements?,list,set,map,unordered_set,1
C++,What is the correct way to initialize a pointer in C++?,int* ptr = nullptr;,int* ptr = 0;,int* ptr = NULL;,All of the above,1
C++,What is the purpose of the 'override' keyword in C++?,To indicate a function overrides a base class function,To prevent function overriding,To create a new function,To define a constant,1
C++,Which operator is used for member access in a class?,.,->,::,*,1
C++,What is the purpose of the 'sizeof' operator in C++?,To get the size of a data type or object,To allocate memory,To define a constant,To create a new object,1
C++,Which keyword is used to define an abstract class in C++?,virtual,abstract,pure,final,1
C++,What is the correct way to declare a multi-dimensional array in C++?,int arr[3][4],int arr(3)(4),int arr{3,4},int arr<3,4>,1
C++,What is the purpose of the 'volatile' keyword in C++?,To prevent compiler optimization,To define constant variables,To create global variables,To declare member functions,1
C++,Which STL container is implemented as a doubly linked list?,list,vector,deque,set,1
C++,What is the correct way to declare a function pointer in C++?,returnType (*ptr)(parameterTypes),returnType ptr(parameterTypes),returnType ptr*,returnType &ptr(parameterTypes),1
C++,What is the purpose of the 'namespace' keyword in C++?,To avoid name collisions,To define a class,To create a function,To declare a variable,1
C++,Which operator is used for member access in a class?,.,->,::,*,1
C++,What is the correct way to define a constant expression in C++?,constexpr int x = 10;,const int x = 10;,static const int x = 10;,All of the above,1
C++,What is the purpose of the 'extern' keyword in C++?,To declare a variable defined in another file,To define a global variable,To create a constant,To declare a function,1
C++,Which keyword is used to define a lambda function in C++?,lambda,[](),function,auto,1
C++,What is the correct way to declare a union in C++?,union UnionName { int x; float y; };,struct UnionName { int x; float y; };,class UnionName { int x; float y; };,union UnionName: { int x; float y; };,1
C++,What is the purpose of the 'friend' function in C++?,To allow access to private members of a class,To create relationships between classes,To inherit properties,To share memory,1
C++,Which operator is used for dynamic memory deallocation in C++?,delete,free,remove,dispose,1
C++,What is the correct way to declare a copy constructor in C++?,ClassName(const ClassName &obj),ClassName(ClassName obj),ClassName(ClassName &obj),ClassName(ClassName obj = nullptr),1
C++,What is the purpose of the 'static_cast' operator in C++?,To perform safe type conversions,To perform unsafe type conversions,To cast pointers,To cast references,1
C++,Which keyword is used to define a template class in C++?,template,class,typename,struct,1
C++,What is the correct way to declare a move constructor in C++?,ClassName(ClassName &&obj),ClassName(ClassName obj),ClassName(ClassName &obj),ClassName(ClassName obj = nullptr),1
C++,What is the purpose of the 'dynamic_cast' operator in C++?,To safely cast pointers and references in inheritance hierarchies,To perform unsafe type conversions,To cast references,To cast values,1
C++,Which STL container is used for implementing a stack?,stack,queue,deque,vector,1
C++,What is the correct way to declare a bit field in C++?,struct { int x: 1; int y: 1; },struct { int x; int y; },struct { int x[1]; int y[1]; },struct { int x; int y; } : 1;,1
C++,Which keyword is used to create a class in C++?,class,struct,object,type,1
C++,What is the correct way to declare a pointer in C++?,int* ptr,int ptr*,ptr int,pointer int,1
C++,Which operator is used for dynamic memory allocation in C++?,new,malloc,alloc,create,1
C++,What is the purpose of the 'delete' keyword in C++?,To deallocate memory,To remove a variable,To delete a file,To erase data,1
C++,Which header file is needed for input/output operations in C++?,iostream,stdio.h,conio.h,stdlib.h,1
C++,What is the correct way to include a header file in C++?,#include <filename>,#include "filename",import filename,using filename,1
C++,Which access specifier makes class members accessible only within the class?,private,public,protected,internal,1
C++,What is the correct syntax for a constructor in C++?,ClassName(),~ClassName(),new ClassName(),init ClassName(),1
C++,Which operator is used to access members of a class through a pointer?,->,.,::,*,1
C++,What is the purpose of the 'this' pointer in C++?,To refer to the current object,To create a new object,To point to parent class,To reference static members,1
C++,Which STL container provides dynamic array functionality in C++?,vector,list,map,set,1
C++,What is the correct way to declare a reference variable in C++?,int& ref = var,int ref = &var,ref int = var,&int ref = var,1
C++,Which keyword is used to prevent function overriding in C++?,final,sealed,static,const,1
C++,What is the correct syntax for function overloading in C++?,Same name, different parameters,Different names, same parameters,Same name and parameters,Different names and parameters,1
C++,Which operator is used for namespace resolution in C++?,::,:,.,->,1
C++,What is the purpose of the 'virtual' keyword in C++?,To enable polymorphism,To create abstract classes,To prevent inheritance,To make functions inline,1
C++,Which STL container stores elements in key-value pairs?,map,vector,list,queue,1
C++,What is the correct way to declare a constant in C++?,const int x,constant int x,int const x,final int x,1
C++,Which keyword is used to handle exceptions in C++?,try,catch,throw,finally,1
C++,What is the purpose of the 'friend' keyword in C++?,To allow access to private members,To create relationships between classes,To inherit properties,To share memory,1
C++,Which operator is used for type casting in C++?,static_cast,dynamic_cast,reinterpret_cast,const_cast,1
C++,What is the correct way to declare a pure virtual function in C++?,virtual void func() = 0,pure virtual void func(),abstract void func(),void func() pure,1
C++,Which STL container follows FIFO principle?,queue,stack,vector,deque,1
C++,What is the purpose of the 'inline' keyword in C++?,To suggest compiler to expand function,To make function global,To prevent recursion,To optimize loops,1
C++,Which header file is needed for string operations in C++?,string,cstring,string.h,stdlib.h,1
C++,What is the correct way to declare a template function in C++?,template <typename T>,template <class T>,generic <typename T>,template <T>,1
C++,Which operator is used to access members of a namespace?,::,:,.,->,1
C++,What is the purpose of the 'mutable' keyword in C++?,To allow modification of const members,To make variables thread-safe,To prevent copying,To enable optimization,1
C++,Which STL algorithm is used for sorting?,sort,order,arrange,organize,1
C++,What is the purpose of the 'static' keyword when used with a member function in C++?,To allow the function to be called without an instance of the class,To limit the function's scope,To define a constant function,To create a virtual function,1
C++,What is the correct way to declare a static member variable in C++?,static int x; inside class,int static x; inside class,static int x; outside class,int x static; inside class,1
Data Science,What is the primary purpose of data preprocessing?,To clean and prepare data,To visualize data,To analyze data,To store data,1
Data Science,Which algorithm is commonly used for classification tasks?,K-means,Linear Regression,Decision Trees,Principal Component Analysis,3
Data Science,What does 'overfitting' refer to in machine learning?,Model performs well on training data but poorly on unseen data,Model performs well on unseen data,Model is too simple,Model is too complex,1
Data Science,What is the purpose of cross-validation?,To improve model accuracy,To reduce overfitting,To increase training time,To simplify the model,2
Data Science,Which metric is used to evaluate classification models?,Mean Squared Error,Accuracy,Silhouette Score,Root Mean Squared Error,2
Data Science,What is a confusion matrix used for?,To visualize model performance,To store data,To preprocess data,To clean data,1
Data Science,Which of the following is a supervised learning algorithm?,K-means,Hierarchical Clustering,Support Vector Machines,Principal Component Analysis,3
Data Science,What does PCA stand for?,Principal Component Analysis,Partial Component Analysis,Primary Component Analysis,Preliminary Component Analysis,1
Data Science,What is the main goal of clustering?,To group similar data points,To predict outcomes,To classify data,To reduce dimensionality,1
Data Science,Which library is commonly used for data manipulation in Python?,NumPy,Matplotlib,Pandas,Scikit-learn,3
Data Science,What is the purpose of feature scaling?,To normalize data,To increase data size,To reduce data size,To visualize data,1
Data Science,Which of the following is a regression algorithm?,K-means,Logistic Regression,Random Forest,Support Vector Machines,2
Data Science,What is the purpose of a validation set?,To tune model parameters,To train the model,To test the model,To preprocess data,1
Data Science,What does 'bias' refer to in machine learning?,Error due to overly simplistic assumptions,Error due to noise in data,Error due to model complexity,Error due to lack of data,1
Data Science,Which technique is used to handle missing data?,Imputation,Normalization,Standardization,Encoding,1
Data Science,What is the purpose of a ROC curve?,To evaluate classification performance,To visualize data,To preprocess data,To reduce dimensionality,1
Data Science,Which of the following is an unsupervised learning algorithm?,Linear Regression,Logistic Regression,K-means,Decision Trees,3
Data Science,What is the main advantage of using ensemble methods?,Improved accuracy,Reduced complexity,Increased interpretability,Lower computational cost,1
Data Science,What does 'dimensionality reduction' achieve?,Reduces the number of features,Increases the number of features,Improves model accuracy,Reduces training time,1
Data Science,Which of the following is a common data visualization library in Python?,Pandas,NumPy,Matplotlib,Scikit-learn,3
Data Science,What is the purpose of regularization?,To prevent overfitting,To increase model complexity,To improve training speed,To reduce data size,1
Data Science,What is a common method for feature selection?,Recursive Feature Elimination,Data Normalization,Data Encoding,Data Imputation,1
Data Science,What does 'ensemble learning' refer to?,Combining multiple models to improve performance,Using a single model,Reducing data size,Visualizing data,1
Data Science,Which of the following is a type of neural network?,Convolutional Neural Network,Linear Regression,Decision Tree,Support Vector Machine,1
Data Science,What is the purpose of the 'train-test split'?,To evaluate model performance,To preprocess data,To visualize data,To clean data,1
Data Science,What is the main goal of A/B testing?,To compare two versions of a variable,To train a model,To visualize data,To preprocess data,1
Data Science,What is the purpose of data augmentation?,To increase the size of the training dataset,To reduce overfitting,To improve model accuracy,To visualize data,1
Data Science,What does 'hyperparameter tuning' involve?,Optimizing model parameters,Training the model,Testing the model,Preprocessing data,1
Data Science,Which of the following is a common method for data encoding?,One-Hot Encoding,Data Normalization,Data Imputation,Data Scaling,1
Data Science,What is the purpose of a loss function?,To measure model performance,To visualize data,To preprocess data,To clean data,1
Data Science,What is the purpose of exploratory data analysis (EDA)?,To summarize main characteristics of data,To train a model,To visualize data,To preprocess data,1
Data Science,Which technique is used to evaluate the importance of features?,Feature Importance,Feature Scaling,Feature Encoding,Feature Selection,1
Data Science,What is the purpose of the F1 score?,To balance precision and recall,To measure accuracy,To evaluate regression models,To visualize data,1
Data Science,Which of the following is a common method for outlier detection?,Z-score,Normalization,Standardization,Encoding,1
Data Science,What does 'k-fold cross-validation' involve?,Dividing data into k subsets for training and validation,Using all data for training,Using a single split for validation,Randomly selecting data points,1
Data Science,What is the purpose of the learning curve?,To visualize model performance over time,To evaluate feature importance,To preprocess data,To clean data,1
Data Science,Which algorithm is commonly used for time series forecasting?,ARIMA,Linear Regression,K-means,Decision Trees,1
Data Science,What is the purpose of the silhouette score?,To measure clustering quality,To evaluate regression performance,To visualize data,To preprocess data,1
Data Science,Which of the following is a type of supervised learning?,Classification,Clustering,Association,Dimensionality Reduction,1
Data Science,What is the purpose of the gradient descent algorithm?,To minimize the loss function,To maximize accuracy,To preprocess data,To visualize data,1
